Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Age_of_Car,Power_per_Liter,Mileage_per_Seat
80,Maruti Swift VDI,Jaipur,2012,95100,0,0,First,22.9,1248,74,5.0,3.75,12,3.23,4.58
84,Maruti Ritz VDi,Jaipur,2013,99638,0,0,First,23.2,1248,73.94,5.0,3.11,11,3.19,4.64
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,1,0,First,20.36,1197,78.9,5.0,2.25,15,3.88,4.07
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,0,0,First,22.7,1498,89.84,5.0,5.5,11,3.96,4.54
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,0,0,First,25.8,1498,98.6,5.0,3.5,9,3.82,5.16
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,0,0,First,22.07,1199,73.9,5.0,2.79,11,3.35,4.41
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,0,0,Second,23.0,1396,90,5.0,3.8,13,3.91,4.6
112,Tata Nano Twist XT,Bangalore,2014,25500,1,0,First,25.4,624,37.5,4.0,2.15,10,1.48,6.35
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,0,0,First,24.3,1248,88.5,5.0,7.5,8,3.64,4.86
124,Tata Nano XTA,Coimbatore,2017,32684,1,1,First,21.9,624,37.48,4.0,3.23,7,1.71,5.48
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,0,1,First,21.21,1498,103.2,5.0,7.25,9,4.87,4.24
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,1,0,First,20.73,1373,91.1,5.0,7.47,7,4.39,4.15
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,1,0,First,21.1,1197,85.80,5.0,5.81,8,4.07,4.22
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,1,0,First,24.07,998,67.1,5.0,2.6,10,2.79,4.81
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,0,0,First,25.8,1498,98.6,5.0,3.7,10,3.82,5.16
142,Maruti Swift VVT VXI,Kochi,2016,34204,1,0,First,22.0,1197,81.80,5.0,5.43,8,3.72,4.4
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,0,0,First,21.14,1498,103.52,5.0,4.75,11,4.9,4.23
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,1,0,First,20.73,1373,91.1,5.0,9.9,6,4.39,4.15
151,Maruti Swift VDI,Chennai,2016,35000,0,0,First,22.9,1248,74,5.0,6.25,8,3.23,4.58
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,0,1,First,21.66,1498,103.52,5.0,9.86,8,4.78,4.33
155,Hyundai EON Magna Plus,Kochi,2019,14322,1,0,First,21.1,814,55.2,5.0,4.23,5,2.62,4.22
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,0,0,First,22.07,1199,73.9,5.0,3.5,12,3.35,4.41
157,Datsun GO NXT,Kolkata,2016,6000,1,0,First,20.63,1198,67.06,5.0,2.5,8,3.25,4.13
160,Honda City i DTEC V,Kochi,2015,42831,0,0,First,26.0,1498,98.6,5.0,7.11,9,3.79,5.2
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,1,0,First,20.4,1197,81.80,5.0,6.2,7,4.01,4.08
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,0,0,First,22.7,1498,89.84,5.0,4.42,10,3.96,4.54
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,0,1,First,21.5,1498,108.5,5.0,6.25,11,5.05,4.3
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,1,0,First,20.36,1197,78.9,5.0,2.75,11,3.88,4.07
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,0,0,First,22.54,1396,88.73,5.0,8.35,10,3.94,4.51
179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,0,0,First,25.44,936,57.6,5.0,1.5,12,2.26,5.09
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,0,0,First,22.07,1199,73.9,5.0,4.2,12,3.35,4.41
187,Maruti Baleno Alpha,Kochi,2017,24773,1,0,First,21.4,1197,83.1,5.0,7.5,7,3.88,4.28
193,Maruti Ertiga ZDI,Mumbai,2016,33000,0,0,First,25.47,1248,88.50,7.0,8.5,8,3.47,3.64
195,Honda Amaze S i-Dtech,Kolkata,2014,52000,0,0,First,25.8,1498,98.6,5.0,3.5,10,3.82,5.16
196,Hyundai i10 Magna,Jaipur,2015,43571,1,0,First,20.36,1197,78.9,5.0,3.55,9,3.88,4.07
197,Honda Amaze S i-Dtech,Kolkata,2013,50000,0,0,First,25.8,1498,98.6,5.0,3.25,11,3.82,5.16
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,0,0,First,24.3,1248,88.5,5.0,9.0,8,3.64,4.86
207,Toyota Etios Liva GD SP,Delhi,2014,104000,0,0,First,23.59,1364,67.06,5.0,3.0,10,2.84,4.72
210,Honda Amaze S Diesel,Kolkata,2013,45000,0,0,First,27.4,1498,98.6,5.0,3.25,11,3.6,5.48
212,Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,0,0,First,20.46,1461,83.8,5.0,5.95,10,4.1,4.09
214,Maruti Wagon R AMT VXI,Mumbai,2016,8500,1,1,First,20.51,998,67,5.0,4.22,8,3.27,4.1
221,Honda Amaze VX i-DTEC,Kolkata,2014,64000,0,0,Second,25.8,1498,98.6,5.0,3.5,10,3.82,5.16
223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,0,0,First,21.03,1461,65,5.0,3.7,11,3.09,4.21
225,Maruti Wagon R VXI,Kolkata,2013,32000,1,0,First,22.5,998,67.04,5.0,2.65,11,2.98,4.5
232,Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,2012,45000,0,0,First,22.07,1199,73.9,5.0,3.6,12,3.35,4.41
233,Maruti Swift ZDi,Hyderabad,2016,64000,0,0,First,22.9,1248,74,5.0,6.8,8,3.23,4.58
240,Chevrolet Beat Diesel LT,Mumbai,2013,74000,0,0,First,25.44,936,57.6,5.0,2.65,11,2.26,5.09
241,Hyundai i20 Sportz 1.4 CRDi,Kochi,2015,56847,0,0,First,22.54,1396,88.73,5.0,7.2,9,3.94,4.51
243,Maruti Ertiga VDI,Chennai,2013,52000,0,0,First,20.77,1248,88.76,7.0,6.9,11,4.27,2.97
248,Hyundai Grand i10 CRDi Era,Mumbai,2017,33000,0,0,First,24.0,1120,70,5.0,4.75,7,2.92,4.8
249,Maruti Ciaz 1.3 Alpha,Chennai,2016,34000,0,0,First,28.09,1248,88.5,5.0,8.45,8,3.15,5.62
258,Maruti Swift VXI BSIV,Coimbatore,2017,27872,1,0,Second,20.4,1197,81.80,5.0,5.95,7,4.01,4.08
260,Maruti Swift VDI,Pune,2012,120000,0,0,First,22.9,1248,74,5.0,3.75,12,3.23,4.58
266,Maruti Ritz ZDi,Hyderabad,2014,88500,0,0,First,23.2,1248,73.94,5.0,4.35,10,3.19,4.64
272,Hyundai i10 Sportz,Bangalore,2010,36000,1,0,Second,20.36,1197,78.9,5.0,3.25,14,3.88,4.07
275,Maruti Swift VDI,Hyderabad,2018,31025,0,0,First,28.4,1248,74,5.0,7.15,6,2.61,5.68
277,Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,121900,0,0,First,22.95,1248,74,5.0,3.75,7,3.22,4.59
279,Maruti Swift Dzire ZDI,Jaipur,2012,73000,0,0,First,23.4,1248,74,5.0,4.35,12,3.16,4.68
280,Maruti Alto 800 LXI,Kochi,2016,32227,1,0,First,22.74,796,47.3,5.0,3.26,8,2.08,4.55
286,Hyundai i20 Magna Optional 1.4 CRDi,Kolkata,2013,46000,0,0,First,21.9,1396,88.8,5.0,3.11,11,4.05,4.38
290,Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,45000,0,0,First,22.95,1248,74,5.0,5.25,6,3.22,4.59
295,Hyundai i10 Magna 1.2,Hyderabad,2010,74000,1,0,First,20.36,1197,78.9,5.0,3.1,14,3.88,4.07
297,Hyundai i10 Magna 1.2 iTech SE,Pune,2012,45275,1,0,First,20.36,1197,78.9,5.0,2.8,12,3.88,4.07
302,Maruti Alto K10 LXI,Hyderabad,2011,70000,1,0,First,20.92,998,67.1,5.0,2.1,13,3.21,4.18
309,Maruti Celerio VXI AT,Hyderabad,2014,77815,1,1,First,23.1,998,67.04,5.0,4.25,10,2.9,4.62
329,Hyundai i20 1.4 CRDi Asta,Pune,2012,83000,0,0,First,23.0,1396,90,5.0,5.5,12,3.91,4.6
332,Maruti Swift VDI BSIV,Hyderabad,2015,76496,0,0,First,25.2,1248,74,5.0,6.15,9,2.94,5.04
338,Tata Manza ELAN Quadrajet BS IV,Pune,2012,73000,0,0,First,21.12,1248,88.8,5.0,3.4,12,4.2,4.22
343,Maruti Vitara Brezza LDi,Chennai,2016,45000,0,0,First,24.3,1248,88.5,5.0,7.15,8,3.64,4.86
346,Honda Amaze S i-Dtech,Kolkata,2013,57000,0,0,First,25.8,1498,98.6,5.0,3.45,11,3.82,5.16
347,Hyundai EON D Lite Plus,Coimbatore,2016,27904,1,0,First,21.1,814,55.2,5.0,3.55,8,2.62,4.22
350,Tata Manza Club Class Quadrajet90 LS,Ahmedabad,2013,47304,0,0,First,21.02,1248,88.8,5.0,2.9,11,4.22,4.2
352,Maruti Alto K10 VXI,Pune,2017,30000,1,0,First,24.07,998,67.1,5.0,3.75,7,2.79,4.81
353,Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,68000,0,0,First,22.7,1498,89.84,5.0,6.75,10,3.96,4.54
358,Hyundai i10 Magna 1.2,Chennai,2009,620000,1,0,First,20.36,1197,78.9,5.0,2.7,15,3.88,4.07
359,Maruti Swift LDI,Delhi,2013,70000,0,0,First,22.9,1248,74,5.0,3.5,11,3.23,4.58
361,Nissan Micra Diesel XV,Chennai,2011,83000,0,0,First,23.08,1461,63.1,5.0,2.75,13,2.73,4.62
362,Maruti Swift Dzire Tour LDI,Mumbai,2015,130000,0,0,First,23.4,1248,74,5.0,3.25,9,3.16,4.68
366,Toyota Etios GD,Kolkata,2014,45000,0,0,First,23.59,1364,67.05,5.0,3.25,10,2.84,4.72
367,Maruti Alto 800 2016-2019 LXI,Kolkata,2018,26200,1,0,First,24.7,796,47.3,5.0,2.9,6,1.91,4.94
372,Maruti Vitara Brezza ZDi Plus,Hyderabad,2017,39000,0,0,First,24.3,1248,88.5,5.0,9.49,7,3.64,4.86
376,Renault Duster 85PS Diesel RxL,Chennai,2015,93000,0,0,Second,20.45,1461,83.8,5.0,7.1,9,4.1,4.09
377,Toyota Corolla Altis D-4D GL,Mumbai,2017,5900,0,0,First,21.43,1364,87.2,5.0,16.5,7,4.07,4.29
379,Maruti Ritz VDi,Hyderabad,2010,68000,0,0,Second,21.1,1248,73.9,5.0,3.2,14,3.5,4.22
381,Hyundai Xcent 1.1 CRDi Base,Kochi,2015,74310,0,0,First,24.4,1120,71,5.0,4.0,9,2.91,4.88
393,Hyundai EON Magna Plus,Chennai,2014,37000,1,0,First,21.1,814,55.2,5.0,3.25,10,2.62,4.22
394,Maruti Wagon R VXI BS IV,Kolkata,2014,17400,1,0,First,20.51,998,67.04,5.0,3.1,10,3.27,4.1
395,Maruti Ritz LDi,Coimbatore,2011,90207,0,0,First,21.1,1248,73.9,5.0,3.91,13,3.5,4.22
419,Hyundai EON Magna Plus,Kolkata,2015,20800,1,0,Second,21.1,814,55.2,5.0,2.25,9,2.62,4.22
429,Toyota Etios VD,Bangalore,2013,37000,0,0,First,23.59,1364,67.04,5.0,5.75,11,2.84,4.72
431,Maruti Baleno Alpha Automatic,Coimbatore,2018,12831,1,1,First,21.4,1197,83.1,5.0,9.89,6,3.88,4.28
433,Hyundai EON Era Plus,Kochi,2018,13102,1,0,First,21.1,814,55.2,5.0,4.06,6,2.62,4.22
434,Renault Captur 1.5 Diesel RXL,Coimbatore,2019,24950,0,0,First,20.37,1461,108.45,5.0,13.37,5,5.32,4.07
436,Maruti Alto 800 LXI,Kochi,2016,34267,1,0,First,22.74,796,47.3,5.0,3.74,8,2.08,4.55
444,Hyundai EON D Lite,Hyderabad,2014,20600,1,0,First,21.1,814,55.2,5.0,2.6,10,2.62,4.22
448,Tata Indica Vista Quadrajet LS,Hyderabad,2014,67000,0,0,First,22.3,1248,74,5.0,2.5,10,3.32,4.46
455,Maruti Celerio LDi,Hyderabad,2016,80219,0,0,First,27.62,793,47,5.0,3.5,8,1.7,5.52
456,Maruti S-Cross Delta DDiS 200 SH,Delhi,2018,12923,0,0,First,25.1,1248,88.5,5.0,8.92,6,3.53,5.02
462,Hyundai Xcent 1.1 CRDi S Celebration Edition,Pune,2016,51000,0,0,First,24.4,1120,71,5.0,5.25,8,2.91,4.88
463,Ford Ecosport 1.5 DV5 MT Titanium,Delhi,2014,31465,0,0,First,22.7,1498,89.84,5.0,6.5,10,3.96,4.54
465,Hyundai Grand i10 CRDi Magna,Kolkata,2017,14000,0,0,First,24.0,1120,70,5.0,4.6,7,2.92,4.8
466,Tata Manza Aqua Quadrajet BS IV,Ahmedabad,2013,47000,0,0,First,21.12,1248,88.8,5.0,2.95,11,4.2,4.22
470,Maruti Ciaz 1.3 S,Coimbatore,2017,25142,0,0,First,28.09,1248,88.5,5.0,8.26,7,3.15,5.62
484,Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2012,52000,0,0,First,22.07,1199,73.9,5.0,2.75,12,3.35,4.41
485,Maruti Ritz VDi,Jaipur,2011,91000,0,0,First,23.2,1248,73.94,5.0,3.0,13,3.19,4.64
486,Nissan Micra Diesel XV Premium,Pune,2013,60000,0,0,First,23.08,1461,63.1,5.0,3.55,11,2.73,4.62
504,Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,79000,0,0,First,22.7,1498,89.84,5.0,6.25,10,3.96,4.54
518,Maruti Wagon R LXI,Ahmedabad,2012,30000,1,0,First,22.5,998,67.04,5.0,3.3,12,2.98,4.5
520,Maruti Celerio VXI,Jaipur,2014,56000,1,0,First,23.1,998,67.04,5.0,2.79,10,2.9,4.62
523,Tata Nano Twist XT,Ahmedabad,2014,18000,1,0,Second,25.4,624,37.5,4.0,1.0,10,1.48,6.35
526,Maruti Swift VXI,Kochi,2019,20667,1,0,First,22.0,1197,81.80,5.0,6.37,5,3.72,4.4
528,Maruti Swift VXI Optional,Kochi,2017,31696,1,0,First,20.4,1197,81.80,5.0,5.75,7,4.01,4.08
542,Hyundai i20 Asta 1.4 CRDi,Delhi,2014,43900,0,0,First,22.54,1396,88.73,5.0,6.75,10,3.94,4.51
551,Maruti Ciaz RS ZDi Plus SHVS,Delhi,2016,41000,0,0,First,28.09,1248,88.5,5.0,9.5,8,3.15,5.62
555,Maruti Ertiga ZDI,Pune,2013,105000,0,0,Second,25.47,1248,88.50,7.0,6.75,11,3.47,3.64
556,Toyota Etios Liva GD,Chennai,2013,179000,0,0,First,23.59,1364,67.04,5.0,3.8,11,2.84,4.72
558,Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,0,0,First,21.13,1498,108.4,5.0,10.5,7,5.13,4.23
559,Volkswagen Polo 1.5 TDI Highline,Hyderabad,2015,50000,0,0,First,20.14,1498,88.8,5.0,6.2,9,4.41,4.03
564,Honda Jazz 1.5 S i DTEC,Jaipur,2015,63642,0,0,First,27.3,1498,98.6,5.0,5.65,9,3.61,5.46
565,Honda Amaze VX i-DTEC,Kochi,2015,62550,0,0,First,25.8,1498,98.6,5.0,5.6,9,3.82,5.16
567,Maruti Swift Dzire VDI,Coimbatore,2016,38461,0,0,First,26.59,1248,74,5.0,7.39,8,2.78,5.32
574,Maruti Swift VDI,Chennai,2014,35000,0,0,First,22.9,1248,74,5.0,5.25,10,3.23,4.58
578,Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,0,0,First,20.14,1498,88,5.0,8.12,6,4.37,4.03
580,Honda City i DTEC VX Option,Coimbatore,2017,45366,0,0,First,25.1,1498,98.6,5.0,10.88,7,3.93,5.02
587,Maruti Ertiga VDI,Kolkata,2013,53073,0,0,First,20.77,1248,88.76,7.0,5.95,11,4.27,2.97
590,Renault Duster 85PS Diesel RxL,Ahmedabad,2014,55000,0,0,First,20.45,1461,83.8,5.0,4.75,10,4.1,4.09
595,Maruti Swift LDI Optional,Kochi,2018,52010,0,0,First,25.2,1248,74,5.0,6.2,6,2.94,5.04
604,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,0,1,First,21.5,1498,108.5,5.0,9.45,8,5.05,4.3
606,Nissan Terrano XL 85 PS,Hyderabad,2014,59962,0,0,First,20.45,1461,83.8,5.0,6.9,10,4.1,4.09
616,Hyundai EON Era Plus,Hyderabad,2015,68764,1,0,First,21.1,814,55.2,5.0,2.9,9,2.62,4.22
617,Volkswagen Polo Diesel Comfortline 1.2L,Delhi,2013,64000,0,0,First,22.07,1199,73.9,5.0,2.9,11,3.35,4.41
618,Maruti Vitara Brezza ZDi,Pune,2016,21558,0,0,First,24.3,1248,88.5,5.0,8.9,8,3.64,4.86
620,Hyundai EON Sportz,Coimbatore,2016,14077,1,0,First,21.1,814,55.2,5.0,3.95,8,2.62,4.22
627,Hyundai i20 Asta 1.4 CRDi,Delhi,2014,67407,0,0,First,21.27,1396,88.76,5.0,4.65,10,4.17,4.25
632,Mini Cooper 5 DOOR D,Mumbai,2016,11000,0,1,First,20.7,1496,113.98,5.0,29.5,8,5.51,4.14
636,Honda BR-V i-DTEC VX MT,Kochi,2017,32249,0,0,First,21.9,1498,98.6,7.0,10.79,7,4.5,3.13
639,Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,1,0,First,20.89,1197,81.80,5.0,5.7,7,3.92,4.18
642,Hyundai i10 Sportz,Kolkata,2013,25000,1,0,First,20.36,1197,78.9,5.0,2.65,11,3.88,4.07
650,Maruti Ciaz ZDi Plus SHVS,Jaipur,2017,36381,0,0,First,28.09,1248,88.5,5.0,9.75,7,3.15,5.62
654,Maruti Alto K10 VXI,Bangalore,2011,64357,1,0,First,24.07,998,67.1,5.0,2.75,13,2.79,4.81
656,Hyundai i20 1.4 Magna ABS,Chennai,2009,47000,0,0,First,21.9,1396,90,5.0,2.8,15,4.11,4.38
661,Hyundai Grand i10 CRDi Sportz,Jaipur,2014,64000,0,0,First,24.0,1120,70,5.0,4.15,10,2.92,4.8
665,Maruti Ritz VDi,Pune,2015,65000,0,0,Second,23.2,1248,73.94,5.0,3.27,9,3.19,4.64
668,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,0,0,First,24.3,1248,88.5,5.0,11.31,7,3.64,4.86
670,Maruti Ciaz ZXi,Pune,2014,49500,1,0,First,20.73,1373,91.1,5.0,6.0,10,4.39,4.15
672,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,62000,0,0,First,22.07,1199,73.9,5.0,4.65,12,3.35,4.41
673,Maruti Ertiga ZDI,Hyderabad,2015,59000,0,0,First,20.77,1248,88.8,7.0,7.5,9,4.28,2.97
674,Maruti Swift Dzire VDI,Jaipur,2015,60000,0,0,First,26.59,1248,74,5.0,6.25,9,2.78,5.32
679,Maruti Ciaz VDI SHVS,Kochi,2017,41217,0,0,First,28.09,1248,88.5,5.0,7.4,7,3.15,5.62
683,Honda Amaze EX i-Dtech,Bangalore,2013,33800,0,0,Second,25.8,1498,98.6,5.0,4.7,11,3.82,5.16
684,Hyundai i20 Asta 1.4 CRDi,Hyderabad,2015,86157,0,0,First,22.54,1396,88.73,5.0,6.5,9,3.94,4.51
685,Maruti Ritz VDi,Hyderabad,2012,146824,0,0,First,21.1,1248,73.9,5.0,3.55,12,3.5,4.22
688,Maruti Vitara Brezza LDi Option,Pune,2017,38000,0,0,First,24.3,1248,88.5,5.0,7.99,7,3.64,4.86
690,Maruti Alto K10 VXI AGS,Hyderabad,2017,25058,1,1,First,24.07,998,67.1,5.0,3.95,7,2.79,4.81
691,Hyundai EON Era Plus,Kochi,2016,36700,1,0,First,21.1,814,55.2,5.0,4.38,8,2.62,4.22
692,Hyundai i10 Sportz,Mumbai,2011,35000,1,0,First,20.36,1197,78.9,5.0,2.75,13,3.88,4.07
695,Ford EcoSport 1.5 TDCi Titanium,Bangalore,2013,62084,0,0,First,22.77,1498,98.59,5.0,6.6,11,4.33,4.55
710,Renault Duster 85PS Diesel RxL Optional,Jaipur,2014,75000,0,0,First,20.46,1461,83.8,5.0,7.5,10,4.1,4.09
714,Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,1,1,First,22.0,1197,81.80,5.0,8.5,7,3.72,4.4
716,Maruti Alto 800 LXI,Kochi,2017,54250,1,0,First,22.74,796,47.3,5.0,3.51,7,2.08,4.55
720,Chevrolet Beat Diesel LT,Bangalore,2012,40700,0,0,First,25.44,936,57.6,5.0,2.65,12,2.26,5.09
721,Maruti Wagon R LXI BS IV,Kochi,2015,43828,1,0,First,20.51,998,67.04,5.0,3.52,9,3.27,4.1
724,Maruti Swift Dzire VXI,Mumbai,2015,19000,1,0,First,20.85,1197,83.14,5.0,5.25,9,3.99,4.17
731,Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,0,0,First,24.0,1186,73.97,5.0,4.9,7,3.08,4.8
734,Maruti Swift VDI BSIV,Kolkata,2012,52241,0,0,First,25.2,1248,74,5.0,2.9,12,2.94,5.04
735,Maruti Baleno Zeta 1.3,Coimbatore,2018,25433,0,0,First,27.39,1248,74,5.0,7.83,6,2.7,5.48
738,Maruti Swift LDI SP Limited Edition,Hyderabad,2016,54631,0,0,First,25.2,1248,74,5.0,6.25,8,2.94,5.04
740,Tata Nano XTA,Coimbatore,2016,24941,1,1,First,21.9,624,37.48,4.0,3.19,8,1.71,5.48
741,Maruti Ertiga VDI,Ahmedabad,2017,63939,0,0,First,25.47,1248,88.50,7.0,7.75,7,3.47,3.64
742,Maruti Celerio VXI AMT,Delhi,2014,35214,1,1,Second,23.1,998,67.04,5.0,3.2,10,2.9,4.62
743,Maruti Swift VDI BSIV,Delhi,2015,63000,0,0,First,25.2,1248,74,5.0,4.9,9,2.94,5.04
746,Mini Cooper 5 DOOR D,Hyderabad,2014,60000,0,1,Second,20.7,1496,113.98,5.0,23.5,10,5.51,4.14
759,Maruti Swift VXI BSIV,Coimbatore,2016,37806,1,0,First,20.4,1197,81.80,5.0,5.2,8,4.01,4.08
761,Tata Nano Lx BSIV,Chennai,2011,35000,1,0,First,25.4,624,37.48,4.0,1.6,13,1.48,6.35
762,Ford Figo Titanium Diesel,Kolkata,2015,72035,0,0,First,25.5,1498,99,5.0,2.5,9,3.88,5.1
769,Tata Indica V2 eLS,Hyderabad,2016,73000,0,0,First,25.0,1396,69,5.0,2.2,8,2.76,5.0
782,Maruti Celerio VXI AT,Hyderabad,2014,44600,1,1,First,23.1,998,67.04,5.0,4.55,10,2.9,4.62
791,Maruti Wagon R VXI,Coimbatore,2015,72599,1,0,First,22.5,998,67.04,5.0,4.32,9,2.98,4.5
797,Maruti SX4 S Cross DDiS 200 Zeta,Mumbai,2017,26000,0,0,First,23.65,1248,88.5,5.0,9.75,7,3.74,4.73
799,Volkswagen Polo Diesel Comfortline 1.2L,Hyderabad,2011,75020,0,0,First,22.07,1199,73.9,5.0,4.1,13,3.35,4.41
804,Maruti Swift Dzire VDI,Pune,2013,88000,0,0,First,23.4,1248,74,5.0,4.75,11,3.16,4.68
809,Honda Amaze VX Diesel,Hyderabad,2018,12000,0,0,First,27.4,1498,98.6,5.0,8.5,6,3.6,5.48
811,Honda Mobilio S i DTEC,Chennai,2015,65000,0,0,First,24.2,1498,98.6,7.0,5.5,9,4.07,3.46
812,Maruti Ertiga ZDI,Kochi,2013,39929,0,0,First,20.77,1248,88.8,7.0,6.56,11,4.28,2.97
813,Maruti Alto K10 LXI,Pune,2014,49000,1,0,First,24.07,998,67.1,5.0,2.3,10,2.79,4.81
815,Hyundai i10 Sportz,Kochi,2016,21456,1,0,First,20.36,1197,78.9,5.0,4.55,8,3.88,4.07
823,Maruti Wagon R LXI BS IV,Kolkata,2014,40000,1,0,First,20.51,998,67.04,5.0,2.49,10,3.27,4.1
824,Renault KWID RXT,Jaipur,2016,4152,1,0,First,25.17,799,53.3,5.0,3.15,8,2.12,5.03
825,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,0,0,First,21.66,1498,108.62,5.0,6.45,7,5.01,4.33
826,Volkswagen Polo Diesel Comfortline 1.2L,Ahmedabad,2013,55000,0,0,First,22.07,1199,73.9,5.0,4.25,11,3.35,4.41
