Name,Mileage,Engine,Seats
Toyota Innova Crysta 2.8 ZX AT,11.36,2755,7.0
Maruti Eeco 5 Seater AC,15.1,1196,5.0
Tata Nano Twist XT,25.4,624,4.0
BMW 3 Series 320d Luxury Line,22.69,1995,5.0
Honda Civic 2006-2010 1.8 V MT,13.5,1799,5.0
Toyota Innova 2.5 VX (Diesel) 7 Seater,12.99,2494,7.0
Volvo V40 Cross Country D3,23.3,1984,5.0
Nissan Micra XV CVT,19.15,1198,5.0
BMW 5 Series 2010-2013 525i,10.8,2497,5.0
Maruti Vitara Brezza VDi,24.3,1248,5.0
Mercedes-Benz B Class B200 CDI,15.0,2143,5.0
Hyundai Verna CRDi 1.6 SX Option,22.0,1582,5.0
Maruti Wagon R LXI BS IV,18.9,998,5.0
Tata Nano XTA,21.9,624,4.0
Mahindra Scorpio VLX,12.05,2179,8.0
Mercedes-Benz New C-Class 200 K AT,11.7,1796,5.0
Honda CR-V 2.4 MT,10.8,2354,5.0
Volkswagen Vento 1.5 TDI Comfortline AT,21.21,1498,5.0
Maruti Ciaz VXi Plus,20.73,1373,5.0
Mahindra XUV500 AT W10 FWD,16.0,2179,7.0
Maruti Ritz VXI ABS,21.1,1197,5.0
Maruti Alto K10 VXI,24.07,998,5.0
Mercedes-Benz SLC 43 AMG,19.0,2996,2.0
Hyundai Verna VTVT 1.6 AT SX Plus,17.0,1591,5.0
Maruti Alto LXi BSIII,19.7,796,5.0
BMW 1 Series 118d Base,20.58,1995,5.0
Honda Jazz 1.2 V CVT i VTEC,19.0,1199,5.0
Honda Civic 2006-2010 1.8 V MT,13.5,1799,5.0
Mercedes-Benz New C-Class C 220 CDI Avantgarde,19.27,2143,5.0
Honda Amaze SX i-DTEC,25.8,1498,5.0
Maruti Swift VVT VXI,22.0,1197,5.0
Toyota Fortuner 3.0 Diesel,11.5,2982,7.0
Chevrolet Beat LT Option,18.6,1199,5.0
Skoda Rapid 1.5 TDI Elegance,21.14,1498,5.0
Maruti Ciaz 1.4 Alpha,20.73,1373,5.0
Audi RS5 Coupe,11.05,2894,4.0
BMW 3 Series Luxury Line,21.76,1995,5.0
Audi A4 2.0 TDI 177 Bhp Premium Plus,17.11,1968,5.0
Maruti Swift VDI,22.9,1248,5.0
Mercedes-Benz S Class 2005 2013 S 500,7.81,5461,5.0
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,21.66,1498,5.0
Skoda Superb Elegance 2.0 TDI CR AT,17.2,1968,5.0
Hyundai EON Magna Plus,21.1,814,5.0
Volkswagen Polo Diesel Trendline 1.2L,22.07,1199,5.0
Datsun GO NXT,20.63,1198,5.0
Honda Brio S MT,19.4,1198,5.0
Mercedes-Benz B Class B180,14.8,1595,5.0
Honda City i DTEC V,26.0,1498,5.0
Toyota Innova 2.5 G (Diesel) 7 Seater,12.99,2494,7.0
Maruti Swift VXI Optional,20.4,1197,5.0
Mahindra XUV500 W8 2WD,15.1,2179,7.0
Ford Ecosport 1.5 DV5 MT Ambiente,22.7,1498,5.0
Toyota Fortuner 4x2 Manual,13.0,2982,7.0
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,21.5,1498,5.0
Ford Figo Diesel Titanium,20.0,1399,5.0
BMW X5 xDrive 30d,15.3,2993,5.0
Mercedes-Benz New C-Class C 220 CDI Style,19.27,2143,5.0
Honda Brio V MT,19.4,1198,5.0
Hyundai i10 Magna 1.2,20.36,1197,5.0
Mercedes-Benz GLC 220,17.9,2143,5.0
Hyundai Grand i10 1.2 Kappa Asta,18.9,1197,5.0
Audi A6 2011-2015 2.0 TDI Premium Plus,17.68,1968,5.0
Volkswagen Vento Petrol Highline AT,14.4,1598,5.0
Mini Countryman Cooper D,16.6,1998,5.0
Hyundai i20 Asta 1.4 CRDi,22.54,1396,5.0
Audi A6 2011-2015 2.0 TDI Premium Plus,17.68,1968,5.0
Chevrolet Beat Diesel LT,25.44,936,5.0
Skoda Superb Elegance 1.8 TSI AT,13.7,1798,5.0
Ford Fiesta 1.4 TDCi EXI Limited Edition,17.8,1399,5.0
BMW 5 Series 520d Luxury Line,22.48,1995,5.0
Chevrolet Optra Magnum 1.6 LS BS3,12.9,1598,5.0
Volkswagen Polo Diesel Highline 1.2L,22.07,1199,5.0
Renault Lodgy 110PS RxZ 8 Seater,19.98,1461,8.0
Mercedes-Benz E-Class E250 CDI Avantgrade,13.0,2143,5.0
Maruti Baleno Alpha,21.4,1197,5.0
Hyundai Verna 1.6 SX,22.32,1582,5.0
Hyundai i10 Magna 1.1,19.81,1086,5.0
Mahindra Scorpio 1.99 S10 4WD,15.4,1997,7.0
Land Rover Range Rover 2.2L Dynamic,12.7,2179,5.0
Ford Figo Diesel ZXI,20.0,1399,5.0
Maruti Ertiga ZDI,25.47,1248,7.0
Honda City 1.5 GXI,0.0,1497.0,5.0
Honda Amaze S i-Dtech,25.8,1498,5.0
Hyundai i10 Magna,20.36,1197,5.0
Honda Amaze S i-Dtech,25.8,1498,5.0
Skoda Laura Ambiente,17.5,1896,5.0
Renault Duster 85PS Diesel RxL,19.87,1461,5.0
Mahindra NuvoSport N6,17.45,1493,7.0
Maruti Vitara Brezza ZDi Plus Dual Tone,24.3,1248,5.0
Hyundai i20 Asta Option 1.2,18.6,1197,5.0
Skoda Fabia 1.4 MPI Ambiente,14.7,1390,5.0
Tata Indigo eCS GLX,15.64,1193,5.0
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,15.73,1968,5.0
Skoda Octavia Elegance 1.8 TSI AT,14.7,1798,5.0
Toyota Etios Liva GD SP,23.59,1364,5.0
Maruti Swift 1.3 VXi,16.1,1497.0,5.0
Mercedes-Benz B Class B180,14.8,1595,5.0
Honda Amaze S Diesel,27.4,1498,5.0
Hyundai Verna 1.6 SX,22.32,1582,5.0
Renault Duster 85PS Diesel RxL Optional,20.46,1461,5.0
Hyundai Creta 1.6 VTVT S,15.29,1591,5.0
Maruti Wagon R AMT VXI,20.51,998,5.0
Mercedes-Benz New C-Class C250 Avantgarde,11.74,1796,5.0
Audi A8 L 3.0 TDI quattro,11.8,2967,5.0
Hyundai i10 Magna 1.1,19.81,1086,5.0
Skoda Rapid 1.6 MPI AT Style Black Package,14.3,1598,5.0
Skoda Superb Style 1.8 TSI AT,14.67,1798,5.0
Hyundai i20 Active 1.2 SX,17.19,1197,5.0
Honda Amaze VX i-DTEC,25.8,1498,5.0
Maruti Wagon R LXI,18.9,998,5.0
Mahindra Verito 1.5 D4 BSIV,21.03,1461,5.0
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,19.27,2143,5.0
Maruti Wagon R VXI,22.5,998,5.0
Nissan Terrano XV Premium 110 PS Anniversary Edition,19.01,1461,5.0
Mini Cooper Convertible S,16.82,1998,4.0
Ford Figo Diesel,0.0,1498,5.0
Tata Indica V2 DLS BSII,17.2,1396,5.0
Chevrolet Beat LT,18.6,1199,5.0
Volkswagen Polo Diesel Comfortline 1.2L,22.07,1199,5.0
Maruti Swift ZDi,22.9,1248,5.0
Ford Figo Diesel EXI,20.0,1399,5.0
Toyota Innova Crysta 2.8 GX AT,11.36,2755,7.0
Hyundai Santa Fe 4x4 AT,11.72,2199,7.0
Honda City i-VTEC V,17.4,1497,5.0
Hyundai i20 1.2 Magna Executive,18.6,1197,5.0
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,19.27,2143,5.0
Chevrolet Beat Diesel LT,25.44,936,5.0
Hyundai i20 Sportz 1.4 CRDi,22.54,1396,5.0
Toyota Innova 2.5 Z Diesel 7 Seater,12.99,2494,7.0
Maruti Ertiga VDI,20.77,1248,7.0
Toyota Innova 2.5 V Diesel 7-seater,12.8,2494,7.0
Honda City i VTEC V,17.8,1497,5.0
BMW X1 sDrive20d,17.05,1995,5.0
Hyundai Grand i10 CRDi Era,24.0,1120,5.0
Maruti Ciaz 1.3 Alpha,28.09,1248,5.0
Skoda Rapid Leisure 1.6 TDI MT,20.5,1598,5.0
Hyundai Accent CRDi,13.1,1493,5.0
Volkswagen Polo GT 1.5 TDI,19.91,1498,5.0
Honda Jazz 1.2 VX i VTEC,18.7,1199,5.0
Hyundai i10 Era,19.81,1086,5.0
Hyundai Tucson 2.0 e-VGT 2WD AT GLS,16.38,1995,5.0
Toyota Innova Crysta 2.4 ZX MT,13.68,2393,7.0
Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,19.7,796,5.0
Maruti Swift VXI BSIV,20.4,1197,5.0
Hyundai Grand i10 Magna,18.9,1197,5.0
Maruti Swift VDI,22.9,1248,5.0
Hyundai Verna CRDi 1.6 SX,22.0,1582,5.0
Hyundai i20 1.2 Sportz,17.0,1197,5.0
Mercedes-Benz GLE 350d,11.57,2987,5.0
Mercedes-Benz New C-Class C 220 CDI CLASSIC,15.8,2148,5.0
Maruti Ritz ZDi,23.2,1248,5.0
Hyundai Creta 1.6 CRDi SX,19.67,1582,5.0
Maruti A-Star Vxi,19.0,998,5.0
Renault Duster 110PS Diesel RXZ Option,19.64,1461,5.0
Fiat Grande Punto 1.3 Emotion Pack (Diesel),17.8,1248,5.0
BMW X3 xDrive30d M Sport,16.55,2993,5.0
Hyundai i10 Sportz,20.36,1197,5.0
Toyota Innova 2.5 G4 Diesel 7-seater,12.8,2494,7.0
Maruti Zen VXI BSII,17.3,993,5.0
Maruti Swift VDI,28.4,1248,5.0
Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,12.05,2179,8.0
Tata Zest Quadrajet 1.3 75PS XE,22.95,1248,5.0
Ford EcoSport 1.0 Ecoboost Titanium Plus,18.88,999,5.0
Maruti Swift Dzire ZDI,23.4,1248,5.0
Maruti Alto 800 LXI,22.74,796,5.0
Honda City 1.5 S MT,17.0,1497,5.0
Audi Q7 3.0 TDI Quattro Technology,12.07,2967,7.0
Skoda Laura 1.9 TDI AT Ambiente,17.0,1896,5.0
Hyundai Verna 1.6 SX VTVT (O),17.1,1591,5.0
Honda City 1.5 V AT,16.8,1497,5.0
Hyundai i20 Magna Optional 1.4 CRDi,21.9,1396,5.0
Hyundai i20 Sportz AT 1.4,15.0,1396,5.0
Volkswagen Vento Diesel Highline,20.54,1598,5.0
Honda City i VTEC VX,17.4,1497,5.0
Tata Zest Quadrajet 1.3 75PS XE,22.95,1248,5.0
BMW 5 Series 2003-2012 520d,18.48,1995,5.0
Maruti Wagon R LXI Minor,18.9,1061,5.0
Honda Jazz VX,18.2,1199,5.0
Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,15.0,1896,5.0
Hyundai i10 Magna 1.2,20.36,1197,5.0
Mercedes-Benz New C-Class C 220 CDI Avantgarde,19.27,2143,5.0
Hyundai i10 Magna 1.2 iTech SE,20.36,1197,5.0
Toyota Innova Crysta 2.4 ZX MT,13.68,2393,7.0
Audi A6 2011-2015 2.0 TDI Technology,17.68,1968,5.0
Toyota Innova 2.5 VX (Diesel) 7 Seater,12.99,2494,7.0
Volkswagen Polo Petrol Trendline 1.2L,16.47,1198,5.0
Maruti Alto K10 LXI,20.92,998,5.0
Honda City i-VTEC CVT ZX,18.0,1497,5.0
Tata Indigo LX,17.0,1405,5.0
Audi A6 2011-2015 2.0 TDI Premium Plus,17.68,1968,5.0
Mercedes-Benz GLA Class 200 CDI SPORT,17.9,2143,5.0
Maruti Celerio VXI AT,23.1,998,5.0
Mercedes-Benz GLE 250d,17.9,2143,5.0
Land Rover Range Rover HSE Dynamic,12.7,2179,5.0
Volkswagen Vento Diesel Trendline,20.54,1598,5.0
Maruti Omni 8 Seater BSIV,14.0,796,5.0
Honda Brio 1.2 VX MT,18.5,1198,5.0
Tata Sumo Delux,14.07,2956,7.0
Tata Indica Vista Aura 1.3 Quadrajet,18.0,1248,5.0
Maruti Wagon R LXI BS IV,18.9,998,5.0
Mahindra XUV500 W8 4WD,16.0,2179,7.0
Tata Indigo LS Dicor,17.1,1396,5.0
Maruti Ertiga Paseo VXI,16.02,1373,7.0
Honda Accord 2.4 A/T,11.7,2354,5.0
Maruti Swift Dzire VDi,19.3,1248,5.0
Ford Fiesta EXi 1.4 TDCi Ltd,17.8,1399,5.0
Honda City ZX GXi,17.7,1497,5.0
Audi A6 2011-2015 2.0 TDI Premium Plus,17.68,1968,5.0
BMW 6 Series 640d Gran Coupe,9.52,2993,4.0
Audi Q7 45 TDI Quattro Technology,14.75,2967,7.0
Hyundai i20 1.4 CRDi Asta,23.0,1396,5.0
Hyundai i10 Sportz AT,16.95,1197,5.0
Honda Jazz 1.2 V CVT i VTEC,19.0,1199,5.0
Maruti Swift VDI BSIV,25.2,1248,5.0
Hyundai i20 Asta 1.2,18.5,1197,5.0
Volkswagen Polo Petrol Comfortline 1.2L,16.47,1198,5.0
Maruti Alto LXi,19.7,796,5.0
Toyota Corolla H4,11.3,1794,5.0
Maruti Alto LXi,19.7,796,5.0
Tata Manza ELAN Quadrajet BS IV,21.12,1248,5.0
Maruti Alto LXi,19.7,796,5.0
Skoda Octavia Ambition Plus 2.0 TDI AT,19.3,1968,5.0
Toyota Corolla H4,11.3,1794,5.0
Hyundai i20 Asta Option 1.2,18.6,1197,5.0
Maruti Vitara Brezza LDi,24.3,1248,5.0
Honda City 1.5 V MT,17.0,1497,5.0
Tata Indica Vista Aqua 1.3 Quadrajet,18.0,1248,5.0
Honda Amaze S i-Dtech,25.8,1498,5.0
Hyundai EON D Lite Plus,21.1,814,5.0
BMW 3 Series Luxury Line,21.76,1995,5.0
Hyundai Verna 1.6 SX,22.32,1582,5.0
Tata Manza Club Class Quadrajet90 LS,21.02,1248,5.0
Skoda Octavia RS,14.45,1984,5.0
Maruti Alto K10 VXI,24.07,998,5.0
Ford Ecosport 1.5 DV5 MT Titanium Optional,22.7,1498,5.0
Chevrolet Spark 1.0 LS,18.0,995,5.0
Jaguar XF 2.0 Diesel Portfolio,19.33,1999,5.0
Honda CR-V RVi MT,13.1,1997,5.0
Skoda Superb L&K 1.8 TSI AT,14.67,1798,5.0
Hyundai i10 Magna 1.2,20.36,1197,5.0
Maruti Swift LDI,22.9,1248,5.0
Maruti Swift Dzire VXi AT,18.5,1197,5.0
Nissan Micra Diesel XV,23.08,1461,5.0
Maruti Swift Dzire Tour LDI,23.4,1248,5.0
Ford Fiesta Classic 1.4 Duratorq CLXI,17.8,1399,5.0
Maruti Zen LX,17.3,993,5.0
Mini Clubman Cooper S,13.8,1998,5.0
Toyota Etios GD,23.59,1364,5.0
Maruti Alto 800 2016-2019 LXI,24.7,796,5.0
Maruti Alto VXi,18.9,796,5.0
BMW X5 3.0d,11.0,2993,5.0
Nissan Teana XV,11.07,2496,5.0
Hyundai Grand i10 AT Asta,18.9,1197,5.0
Maruti Vitara Brezza ZDi Plus,24.3,1248,5.0
Audi Q7 3.0 TDI Quattro Premium Plus,12.07,2967,7.0
Mercedes-Benz GLA Class 200 CDI,17.9,2143,5.0
Maruti 800 AC,16.1,796,4.0
Renault Duster 85PS Diesel RxL,20.45,1461,5.0
Toyota Corolla Altis D-4D GL,21.43,1364,5.0
Mercedes-Benz New C-Class 220,15.8,2148,5.0
Maruti Ritz VDi,21.1,1248,5.0
Honda BRV i-VTEC V CVT,16.0,1497,7.0
Hyundai Xcent 1.1 CRDi Base,24.4,1120,5.0
Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,14.21,2143,5.0
Mercedes-Benz B Class B180,14.8,1595,5.0
Mercedes-Benz E-Class 2015-2017 E250 Edition E,15.0,2143,5.0
Honda City i VTEC VX Option,17.8,1497,5.0
Honda City 1.5 S MT,17.0,1497,5.0
Hyundai Verna Transform VTVT,16.2,1599,5.0
Jaguar XE Portfolio,13.5,1999,5.0
Honda Amaze S i-Vtech,18.0,1198,5.0
Mini Cooper Convertible 1.6,18.86,1598,4.0
Mercedes-Benz S Class 2005 2013 S 350 CDI,13.5,2987,5.0
Hyundai EON Magna Plus,21.1,814,5.0
Maruti Wagon R VXI BS IV,20.51,998,5.0
Maruti Ritz LDi,21.1,1248,5.0
BMW 3 Series 320d Sedan,16.07,1995,5.0
Tata Xenon XT EX 4X2,13.49,2179,5.0
Audi A3 35 TDI Attraction,20.38,1968,5.0
Land Rover Range Rover 2.2L Dynamic,12.7,2179,5.0
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,12.0,2987,7.0
Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,13.5,2477,7.0
Maruti Alto LX,19.7,796,5.0
Maruti Wagon R LXI BSIII,14.0,1061,5.0
Land Rover Range Rover 2.2L Prestige,12.7,2179,5.0
Hyundai Verna 1.6 SX VTVT,17.01,1591,5.0
BMW 5 Series 525d Sedan,16.73,2993,5.0
Jaguar XF Diesel,14.74,2993,5.0
Skoda Superb Elegance 1.8 TSI AT,13.7,1798,5.0
Audi Q3 35 TDI Quattro Premium,15.73,1968,5.0
Land Rover Range Rover 2.2L Pure,12.7,2179,5.0
Mercedes-Benz New C-Class 220 CDI AT,14.84,2143,5.0
Mahindra Scorpio S10 4WD,15.4,2179,7.0
BMW 3 Series Luxury Line,21.76,1995,5.0
Honda BR-V i-VTEC S MT,15.4,1497,7.0
Volvo S80 2006-2013 D5,16.0,2400,5.0
Hyundai Accent GLE,13.2,1495,5.0
Hyundai i20 Active SX Petrol,17.19,1197,5.0
Mercedes-Benz GLC 43 AMG Coupe,11.5,2996,5.0
Hyundai EON Magna Plus,21.1,814,5.0
Hyundai Grand i10 SportZ Edition,18.9,1197,5.0
Honda City 1.5 EXI S,13.0,1493,5.0
Volkswagen Polo Petrol Trendline 1.2L,16.47,1198,5.0
Audi A6 35 TFSI Matrix,15.26,1798,5.0
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,15.29,1591,5.0
Mercedes-Benz New C-Class C 200 CGI Avantgarde,11.74,1796,5.0
Mini Cooper Convertible S,16.82,1998,4.0
Toyota Etios VD,23.59,1364,5.0
Honda Brio S MT,19.4,1198,5.0
Maruti Baleno Alpha Automatic,21.4,1197,5.0
Skoda Laura Ambiente 2.0 TDI CR AT,20.0,1968,5.0
Hyundai EON Era Plus,21.1,814,5.0
Renault Captur 1.5 Diesel RXL,20.37,1461,5.0
BMW 5 Series 2003-2012 GT 530d LE,16.2,2993,5.0
Maruti Alto 800 LXI,22.74,796,5.0
Volvo V40 D3,16.8,1984,5.0
Maruti Wagon R LXI BSII,18.9,998,5.0
Honda City ZX GXi,17.7,1497,5.0
Chevrolet Enjoy 1.4 LS 8,13.7,1399,8.0
Mahindra Bolero ZLX,15.96,2523,7.0
Hyundai EON D Lite,21.1,814,5.0
Hyundai Creta 1.6 SX Plus Petrol Automatic,13.0,1591,5.0
Volkswagen Vento 1.6 Comfortline,16.09,1598,5.0
Honda Civic 2006-2010 1.8 S AT,12.9,1799,5.0
Tata Indica Vista Quadrajet LS,22.3,1248,5.0
Mahindra XUV500 W8 2WD,16.0,2179,7.0
Hyundai i20 1.2 Asta Option,18.6,1197,5.0
Audi Q5 30 TDI quattro Premium Plus,14.16,1968,5.0
Maruti Ritz VXi,18.5,1197,5.0
Mitsubishi Cedia Sports,13.17,1999,5.0
Toyota Innova 2.5 V Diesel 7-seater,12.8,2494,7.0
Maruti Celerio LDi,27.62,793,5.0
Maruti S-Cross Delta DDiS 200 SH,25.1,1248,5.0
Audi Q3 35 TDI Quattro Premium Plus,15.17,1968,5.0
BMW 3 Series Luxury Line,21.76,1995,5.0
Audi Q7 4.2 TDI Quattro Technology,11.33,4134,7.0
Hyundai i20 2015-2017 Asta 1.2,18.6,1197,5.0
Renault Duster 110PS Diesel RxL,19.01,1461,5.0
Hyundai Xcent 1.1 CRDi S Celebration Edition,24.4,1120,5.0
Ford Ecosport 1.5 DV5 MT Titanium,22.7,1498,5.0
Volkswagen Polo Petrol Trendline 1.2L,16.47,1198,5.0
Hyundai Grand i10 CRDi Magna,24.0,1120,5.0
Tata Manza Aqua Quadrajet BS IV,21.12,1248,5.0
Honda City 1.5 V MT,17.0,1497,5.0
Hyundai Santro Xing GLS,17.92,1086,5.0
Toyota Innova 2.5 VX (Diesel) 7 Seater,12.99,2494,7.0
Maruti Ciaz 1.3 S,28.09,1248,5.0
Toyota Fortuner 4x4 MT TRD Sportivo,12.55,2982,7.0
Mercedes-Benz E-Class E 220 d,12.6,1950,5.0
Mercedes-Benz New C-Class 220 CDI MT,15.8,2148,5.0
Skoda Yeti Ambition 4X2,17.72,1968,5.0
Hyundai Grand i10 Sportz,18.9,1197,5.0
Ford Figo 2015-2019 1.2P Titanium MT,18.16,1196,5.0
Skoda Octavia Ambition 1.4 TSI MT,16.8,1395,5.0
Renault Duster 85PS Diesel RxL Option,19.87,1461,5.0
Land Rover Range Rover Evoque 2.0 TD4 Pure,15.68,1999,5.0
Ford Figo Diesel EXI,20.0,1399,5.0
Ford Endeavour Hurricane Limited Edition,12.8,2953,7.0
Toyota Fortuner 4x4 MT,12.55,2982,7.0
Volkswagen Polo Diesel Comfortline 1.2L,22.07,1199,5.0
Maruti Ritz VDi,23.2,1248,5.0
Nissan Micra Diesel XV Premium,23.08,1461,5.0
Hyundai Verna 1.6 SX,22.32,1582,5.0
BMW 5 Series 2003-2012 523i,10.8,2497,5.0
Mercedes-Benz GLS 350d 4MATIC,11.0,2987,7.0
Honda CR-V 2.4L 4WD AT,12.0,2354,5.0
Hyundai Creta 1.6 CRDi AT SX Plus,17.01,1582,5.0
Hyundai i10 Era,19.81,1086,5.0
Mercedes-Benz A Class A200 CDI Sport,20.0,2143,5.0
Maruti Ertiga VXI,16.02,1373,7.0
Skoda Octavia Classic 1.9 TDI MT,18.7,1896,5.0
Honda Amaze VX i-Vtech,18.0,1198,5.0
Maruti Zen LXi BSII,17.3,993,5.0
Maruti SX4 ZXI MT BSIV,15.5,1586,5.0
Honda Brio VX AT,16.5,1198,5.0
